entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,trade_direction,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.9,1.0,2.5,18,48,3,0.65,0.53,short_only,0.15,0.03,0.8856020173932169,0.8356020173932168,0.18444986876705904,-0.07613138303488659,0.43902439024390244,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.58,0.53,short_only,0.08,0.03,0.8438941325557568,0.7938941325557568,0.17596045763257262,-0.07613138303488497,0.4146341463414634,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.6,0.53,short_only,0.1,0.03,0.8438941325557568,0.7938941325557568,0.17596045763257262,-0.07613138303488497,0.4146341463414634,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.63,0.53,short_only,0.13,0.03,0.8438941325557568,0.7938941325557568,0.17596045763257262,-0.07613138303488497,0.4146341463414634,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.65,0.53,short_only,0.15,0.03,0.8438941325557568,0.7938941325557568,0.17596045763257262,-0.07613138303488497,0.4146341463414634,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.58,0.53,short_only,0.08,0.03,0.8257648134404623,0.7757648134404622,0.17025989193317947,-0.07613138303488584,0.43902439024390244,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.6,0.53,short_only,0.1,0.03,0.8257648134404623,0.7757648134404622,0.17025989193317947,-0.07613138303488584,0.43902439024390244,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.63,0.53,short_only,0.13,0.03,0.8257648134404623,0.7757648134404622,0.17025989193317947,-0.07613138303488584,0.43902439024390244,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.65,0.53,short_only,0.15,0.03,0.8257648134404623,0.7757648134404622,0.17025989193317947,-0.07613138303488584,0.43902439024390244,41,0,41,1.0
0.3,1.0,3.0,18,48,2,0.58,0.53,short_only,0.08,0.03,0.7755033585986808,0.7255033585986808,0.1625539695529341,-0.07613138303488332,0.4,40,0,40,1.0
0.3,1.0,3.0,18,48,2,0.6,0.53,short_only,0.1,0.03,0.7755033585986808,0.7255033585986808,0.1625539695529341,-0.07613138303488332,0.4,40,0,40,1.0
0.3,1.0,3.0,18,48,2,0.63,0.53,short_only,0.13,0.03,0.7755033585986808,0.7255033585986808,0.1625539695529341,-0.07613138303488332,0.4,40,0,40,1.0
0.3,1.0,3.0,18,48,2,0.65,0.53,short_only,0.15,0.03,0.7755033585986808,0.7255033585986808,0.1625539695529341,-0.07613138303488332,0.4,40,0,40,1.0
0.3,1.0,2.5,18,48,2,0.58,0.53,short_only,0.08,0.03,0.7571528110487652,0.7071528110487652,0.1552052922229945,-0.0761313830348829,0.3902439024390244,41,0,41,1.0
0.3,1.0,2.5,18,48,2,0.6,0.53,short_only,0.1,0.03,0.7571528110487652,0.7071528110487652,0.1552052922229945,-0.0761313830348829,0.3902439024390244,41,0,41,1.0
0.3,1.0,2.5,18,48,2,0.63,0.53,short_only,0.13,0.03,0.7571528110487652,0.7071528110487652,0.1552052922229945,-0.0761313830348829,0.3902439024390244,41,0,41,1.0
0.3,1.0,2.5,18,48,2,0.65,0.53,short_only,0.15,0.03,0.7571528110487652,0.7071528110487652,0.1552052922229945,-0.0761313830348829,0.3902439024390244,41,0,41,1.0
0.9,1.0,3.0,18,48,2,0.58,0.53,short_only,0.08,0.03,0.7535637601302582,0.7035637601302581,0.15584134205986855,-0.07613138303488438,0.4,40,0,40,1.0
0.9,1.0,3.0,18,48,2,0.6,0.53,short_only,0.1,0.03,0.7535637601302582,0.7035637601302581,0.15584134205986855,-0.07613138303488438,0.4,40,0,40,1.0
0.9,1.0,3.0,18,48,2,0.63,0.53,short_only,0.13,0.03,0.7535637601302582,0.7035637601302581,0.15584134205986855,-0.07613138303488438,0.4,40,0,40,1.0
0.9,1.0,3.0,18,48,2,0.65,0.53,short_only,0.15,0.03,0.7535637601302582,0.7035637601302581,0.15584134205986855,-0.07613138303488438,0.4,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.58,0.53,short_only,0.08,0.03,0.7384675992132891,0.688467599213289,0.15226456150356493,-0.07613138303488416,0.4,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.6,0.53,short_only,0.1,0.03,0.7384675992132891,0.688467599213289,0.15226456150356493,-0.07613138303488416,0.4,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.63,0.53,short_only,0.13,0.03,0.7384675992132891,0.688467599213289,0.15226456150356493,-0.07613138303488416,0.4,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.65,0.53,short_only,0.15,0.03,0.7384675992132891,0.688467599213289,0.15226456150356493,-0.07613138303488416,0.4,40,0,40,1.0
0.9,1.0,2.5,18,48,2,0.58,0.53,short_only,0.08,0.03,0.7381939868265888,0.6881939868265887,0.14934734357412216,-0.07613138303488415,0.3902439024390244,41,0,41,1.0
0.9,1.0,2.5,18,48,2,0.6,0.53,short_only,0.1,0.03,0.7381939868265888,0.6881939868265887,0.14934734357412216,-0.07613138303488415,0.3902439024390244,41,0,41,1.0
0.9,1.0,2.5,18,48,2,0.63,0.53,short_only,0.13,0.03,0.7381939868265888,0.6881939868265887,0.14934734357412216,-0.07613138303488415,0.3902439024390244,41,0,41,1.0
0.9,1.0,2.5,18,48,2,0.65,0.53,short_only,0.15,0.03,0.7381939868265888,0.6881939868265887,0.14934734357412216,-0.07613138303488415,0.3902439024390244,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.58,0.53,short_only,0.08,0.03,0.7226903937894938,0.6726903937894938,0.14578252345217435,-0.07613138303488384,0.3902439024390244,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.6,0.53,short_only,0.1,0.03,0.7226903937894938,0.6726903937894938,0.14578252345217435,-0.07613138303488384,0.3902439024390244,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.63,0.53,short_only,0.13,0.03,0.7226903937894938,0.6726903937894938,0.14578252345217435,-0.07613138303488384,0.3902439024390244,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.65,0.53,short_only,0.15,0.03,0.7226903937894938,0.6726903937894938,0.14578252345217435,-0.07613138303488384,0.3902439024390244,41,0,41,1.0
0.3,1.0,2.5,18,48,12,0.58,0.53,short_only,0.08,0.03,0.7134904470479548,0.6634904470479548,0.13762729807259566,-0.09736120410115358,0.43243243243243246,37,0,37,1.0
0.3,1.0,2.5,18,48,12,0.6,0.53,short_only,0.1,0.03,0.7134904470479548,0.6634904470479548,0.13762729807259566,-0.09736120410115358,0.43243243243243246,37,0,37,1.0
0.3,1.0,2.5,18,48,12,0.63,0.53,short_only,0.13,0.03,0.7134904470479548,0.6634904470479548,0.13762729807259566,-0.09736120410115358,0.43243243243243246,37,0,37,1.0
