long_threshold,short_threshold,neutral_max,edge_margin,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,trade_direction,ret,sharpe,sortino,maxdd,n_trades,n_long,n_short,long_ratio,short_ratio,win_rate,median_net,baseline,baseline_ret,baseline_sharpe,skill_ret_delta,skill_sharpe_delta,baseline_trades,baseline_exposure
0.42,0.5,0.6,0.03,0.0,1.0,2.5,6,24,6,both,0.8415208901233671,2.1454753107921576,1.6349973585148092,-0.18659607265093178,218,167,51,0.7660550458715596,0.23394495412844038,0.44036697247706424,-0.0025436458811953317,always_long,0.41182157791349994,0.9846420281207665,0.4296993122098671,1.160833282671391,387,0.648224043715847
0.42,0.5,0.7,0.03,0.0,1.0,2.5,6,24,6,both,0.8415208901233671,2.1454753107921576,1.6349973585148092,-0.18659607265093178,218,167,51,0.7660550458715596,0.23394495412844038,0.44036697247706424,-0.0025436458811953317,always_long,0.41182157791349994,0.9846420281207665,0.4296993122098671,1.160833282671391,387,0.648224043715847
0.42,0.46,0.4,0.1,0.0,2.0,3.0,6,72,2,both,1.0331307025456251,2.138346032665449,2.230841945641196,-0.17351679355297436,154,76,78,0.4935064935064935,0.5064935064935064,0.525974025974026,0.004338162746362196,always_long,1.1610599197533586,1.8980755037538666,-0.12792921720773354,0.2402705289115823,224,0.898224043715847
0.42,0.46,0.5,0.1,0.0,2.0,3.0,6,72,2,both,1.0331307025456251,2.138346032665449,2.230841945641196,-0.17351679355297436,154,76,78,0.4935064935064935,0.5064935064935064,0.525974025974026,0.004338162746362196,always_long,1.1610599197533586,1.8980755037538666,-0.12792921720773354,0.2402705289115823,224,0.898224043715847
0.42,0.46,0.6,0.1,0.0,2.0,3.0,6,72,2,both,1.0331307025456251,2.138346032665449,2.230841945641196,-0.17351679355297436,154,76,78,0.4935064935064935,0.5064935064935064,0.525974025974026,0.004338162746362196,always_long,1.1610599197533586,1.8980755037538666,-0.12792921720773354,0.2402705289115823,224,0.898224043715847
0.42,0.46,0.7,0.1,0.0,2.0,3.0,6,72,2,both,1.0331307025456251,2.138346032665449,2.230841945641196,-0.17351679355297436,154,76,78,0.4935064935064935,0.5064935064935064,0.525974025974026,0.004338162746362196,always_long,1.1610599197533586,1.8980755037538666,-0.12792921720773354,0.2402705289115823,224,0.898224043715847
0.46,0.5,0.4,0.03,0.0,1.0,3.0,6,24,2,both,0.8020519415387728,2.1356787961426287,1.738110935812367,-0.19219628615487294,186,110,76,0.5913978494623656,0.40860215053763443,0.44086021505376344,-0.0017831756149633577,always_long,1.3435651215720386,2.1582461789235494,-0.5415131800332658,-0.02256738278092074,440,0.799863387978142
0.46,0.5,0.5,0.03,0.0,1.0,3.0,6,24,2,both,0.8020519415387728,2.1356787961426287,1.738110935812367,-0.19219628615487294,186,110,76,0.5913978494623656,0.40860215053763443,0.44086021505376344,-0.0017831756149633577,always_long,1.3435651215720386,2.1582461789235494,-0.5415131800332658,-0.02256738278092074,440,0.799863387978142
0.46,0.5,0.6,0.03,0.0,1.0,3.0,6,24,2,both,0.8020519415387728,2.1356787961426287,1.738110935812367,-0.19219628615487294,186,110,76,0.5913978494623656,0.40860215053763443,0.44086021505376344,-0.0017831756149633577,always_long,1.3435651215720386,2.1582461789235494,-0.5415131800332658,-0.02256738278092074,440,0.799863387978142
0.46,0.5,0.7,0.03,0.0,1.0,3.0,6,24,2,both,0.8020519415387728,2.1356787961426287,1.738110935812367,-0.19219628615487294,186,110,76,0.5913978494623656,0.40860215053763443,0.44086021505376344,-0.0017831756149633577,always_long,1.3435651215720386,2.1582461789235494,-0.5415131800332658,-0.02256738278092074,440,0.799863387978142
0.46,0.5,0.4,0.03,0.0,1.0,2.0,6,24,2,both,0.7191017798012538,2.1181605594492945,1.6199169855044246,-0.196864156057547,194,116,78,0.5979381443298969,0.4020618556701031,0.4639175257731959,-0.001083439854079422,always_long,1.5986184597991508,2.443024495936852,-0.8795166799978971,-0.3248639364875574,488,0.7780054644808743
0.46,0.5,0.5,0.03,0.0,1.0,2.0,6,24,2,both,0.7191017798012538,2.1181605594492945,1.6199169855044246,-0.196864156057547,194,116,78,0.5979381443298969,0.4020618556701031,0.4639175257731959,-0.001083439854079422,always_long,1.5986184597991508,2.443024495936852,-0.8795166799978971,-0.3248639364875574,488,0.7780054644808743
0.46,0.5,0.6,0.03,0.0,1.0,2.0,6,24,2,both,0.7191017798012538,2.1181605594492945,1.6199169855044246,-0.196864156057547,194,116,78,0.5979381443298969,0.4020618556701031,0.4639175257731959,-0.001083439854079422,always_long,1.5986184597991508,2.443024495936852,-0.8795166799978971,-0.3248639364875574,488,0.7780054644808743
0.46,0.5,0.7,0.03,0.0,1.0,2.0,6,24,2,both,0.7191017798012538,2.1181605594492945,1.6199169855044246,-0.196864156057547,194,116,78,0.5979381443298969,0.4020618556701031,0.4639175257731959,-0.001083439854079422,always_long,1.5986184597991508,2.443024495936852,-0.8795166799978971,-0.3248639364875574,488,0.7780054644808743
0.42,0.46,0.4,0.06,0.0,1.0,2.5,6,48,6,both,0.8185041991817688,2.1104628709490822,1.998967654868678,-0.11665716672140401,205,109,96,0.5317073170731708,0.4682926829268293,0.4097560975609756,-0.010499999999999975,always_long,0.7976304844291755,1.6559624172739404,0.020873714752593253,0.4545004536751418,325,0.7046903460837887
0.42,0.46,0.5,0.06,0.0,1.0,2.5,6,48,6,both,0.8185041991817688,2.1104628709490822,1.998967654868678,-0.11665716672140401,205,109,96,0.5317073170731708,0.4682926829268293,0.4097560975609756,-0.010499999999999975,always_long,0.7976304844291755,1.6559624172739404,0.020873714752593253,0.4545004536751418,325,0.7046903460837887
