entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,trade_direction,long_threshold,short_threshold,ret,sharpe,sortino,maxdd,n_trades,n_long,n_short,win_rate,median_net,baseline,baseline_ret,baseline_sharpe,skill_ret_delta,skill_sharpe_delta,baseline_trades,baseline_exposure
0.6,1.0,2.0,6,24,6,long_only,0.76,0.24,0.7685232222920411,2.056519476253625,1.7318201460852234,-0.1260146327885356,263,263,0,0.49809885931558934,-8.978415367273456e-05,always_long,-0.0809860819466045,-0.255994069789967,0.8495093042386456,2.312513546043592,395,0.6409380692167578
0.0,2.0,3.0,6,24,2,short_only,0.72,0.28,0.04102073344324597,0.12428931342805984,0.128347941543443,-0.3160440362953329,255,0,255,0.4666666666666667,-0.000979435822342967,always_short,-0.5972181304990554,-2.178107302443623,0.6382388639423013,2.302396615871683,382,0.8262750455373407
0.0,2.0,2.0,6,24,2,short_only,0.76,0.24,-0.11834031082698915,-0.4140901612026234,-0.4060017071502832,-0.30483298145536863,256,0,256,0.48046875,-0.0008993026369514144,always_short,-0.6670882577652495,-2.6964000133500696,0.5487479469382603,2.282309852147446,414,0.8117030965391621
0.6,2.0,2.0,6,24,2,short_only,0.76,0.24,-0.1968825134869583,-0.7330602784761486,-0.7251312111995292,-0.31268084001226687,256,0,256,0.48046875,-0.0007431197294671382,always_short,-0.698020955846618,-3.010241954389008,0.5011384423596598,2.2771816759128596,414,0.8117030965391621
0.6,1.0,2.0,6,24,6,long_only,0.65,0.35,0.7876253643665396,2.0171088743064187,1.937204170404778,-0.1934033669205437,310,310,0,0.47096774193548385,-0.0020632432723686213,always_long,-0.0809860819466045,-0.255994069789967,0.8686114463131441,2.2731029440963857,395,0.6409380692167578
0.0,2.0,1.5,12,24,6,long_only,0.76,0.24,0.5434708649152475,1.2634134105623331,1.0059423381846577,-0.16439007309418596,225,225,0,0.5822222222222222,0.003919492007299781,always_long,-0.32813255522715645,-0.9885314602316078,0.871603420142404,2.251944870793941,333,0.6966074681238615
0.6,1.0,2.0,6,24,6,long_only,0.63,0.37,0.7741696265276397,1.9929038597208146,1.9142472886778552,-0.16458130958138137,314,314,0,0.4681528662420382,-0.0022931861098155334,always_long,-0.0809860819466045,-0.255994069789967,0.8551557084742442,2.2488979295107816,395,0.6409380692167578
0.0,1.0,1.0,6,24,2,short_only,0.76,0.24,-0.06986041765794648,-0.2597310768371008,-0.2239614568981533,-0.29935482997126983,312,0,312,0.4967948717948718,-0.0003183254193724084,always_short,-0.626968566553863,-2.5002304196119267,0.5571081488959165,2.240499342774826,577,0.7374772313296903
0.0,1.0,2.0,6,24,6,long_only,0.58,0.42,1.2282394684141682,2.56240003269293,2.4364760542481085,-0.15485324753142948,328,328,0,0.4695121951219512,-0.0018251293852668104,always_long,0.1164050761194253,0.32505157391893713,1.111834392294743,2.237348458773993,395,0.6409380692167578
0.3,1.5,1.0,6,48,6,short_only,0.72,0.28,-0.13198485703191443,-0.5382397672838155,-0.4559958749717381,-0.3100162579975828,251,0,251,0.5697211155378487,0.005543578628718617,always_short,-0.589316566705225,-2.775580602163566,0.4573317096733106,2.2373408348797503,386,0.6491347905282332
