direction,reason,gross,net,hold
long,sl,-0.018081366147664427,-0.018581366147664428,8
long,sl,-0.03435147580653193,-0.03535147580653193,12
short,sl,-0.018421863839096934,-0.018814063839096933,14
long,sl,-0.018081366147664542,-0.018581366147664542,10
long,sl,-0.01808136614766436,-0.018581366147664362,8
short,tp,0.02610965869259272,0.025671258692592718,8
short,tp,0.0343454454952712,0.0344455454952712,13
short,sl,-0.01791936286709814,-0.01834236286709814,10
short,timeout,0.016773235599500832,0.016142835599500832,48
long,sl,-0.01808136614766453,-0.018581366147664532,31
short,sl,-0.02666424505143397,-0.02750254505143397,21
long,timeout,-0.006646843700074025,-0.007646843700074025,48
short,sl,-0.017919362867098006,-0.018334662867098006,11
short,timeout,-0.008905768488796996,-0.009536168488796994,48
long,sl,-0.018081366147664625,-0.018581366147664626,10
long,sl,-0.021458579009873753,-0.022458579009873754,22
short,sl,-0.017919362867098027,-0.01827306286709803,19
short,sl,-0.017919362867098037,-0.01835776286709804,8
short,timeout,-0.0036724101617800855,-0.004302810161780086,48
short,tp,0.03624594155844155,0.035853741558441544,14
short,tp,0.027895719111841945,0.027518919111841945,16
short,sl,-0.02341285605573142,-0.02435125605573142,8
short,sl,-0.026438083250177376,-0.027237883250177376,26
short,timeout,0.010441500158339811,0.010311100158339812,48
short,timeout,0.0072344564174241215,0.006604056417424122,48
short,timeout,-0.006369790632010876,-0.007000190632010876,48
short,sl,-0.02024282534971829,-0.021142725349718294,13
short,sl,-0.025901198824915116,-0.026839598824915118,8
short,sl,-0.0197488853698044,-0.0204023853698044,45
short,timeout,-0.006136799515726956,-0.006767199515726956,48
short,sl,-0.022264315039490327,-0.02299481503949033,35
short,timeout,0.00897655366998581,0.008346153669985812,48
short,sl,-0.022491583643681222,-0.023183583643681224,40
short,sl,-0.022316461394186336,-0.023193261394186336,16
short,sl,-0.01791936286709804,-0.01835006286709804,9
short,timeout,-0.006145590661484362,-0.006775990661484362,48
short,tp,0.030074243198960078,0.02981294319896008,31
short,timeout,-0.015077643743629706,-0.015708043743629704,48
short,timeout,-0.005677373797762039,-0.006307773797762039,48
short,sl,-0.022564648664139732,-0.023449148664139732,15
short,sl,-0.022262182111662542,-0.022977282111662542,37
short,timeout,-0.007579554425285773,-0.008209954425285772,48
short,timeout,0.008683431333699356,0.008053031333699357,48
short,tp,0.024537739666897505,0.024230239666897503,25
short,timeout,0.003047524282708089,0.0024171242827080892,48
short,sl,-0.022875740670365775,-0.023714040670365776,21
short,tp,0.026586843833792676,0.026441043833792675,46
short,sl,-0.019677547019274762,-0.020600547019274763,10
short,timeout,-0.01863875035696742,-0.01926915035696742,48
short,sl,-0.01897011665364977,-0.01990851665364977,8
short,timeout,0.006298223669177262,0.0061678236691772624,48
short,tp,0.02345240181533622,0.023014001815336218,8
short,timeout,-0.005081271747938414,-0.005711671747938414,48
short,sl,-0.02030840189404496,-0.021115901894044962,25
short,tp,0.03434544549527135,0.03449174549527135,19
short,timeout,0.002346850700511179,0.0017164507005111795,48
short,tp,0.02996147962232696,0.02972327962232696,34
short,sl,-0.017919362867097985,-0.018280762867097986,18
short,sl,-0.023862776142183337,-0.02467797614218334,24
short,timeout,0.004812323027485382,0.004181923027485383,48
short,timeout,-0.012788815236672559,-0.013419215236672558,48
short,timeout,-0.016850006263942827,-0.017480406263942826,48
short,timeout,0.013985515589107688,0.01335511558910769,48
short,timeout,-0.009164892230884156,-0.009795292230884156,48
short,timeout,0.0007872369315821591,0.0001568369315821595,48
short,sl,-0.02516384483457304,-0.02596364483457304,26
short,sl,-0.017919362867098023,-0.018357762867098025,8
short,timeout,0.0019984950473700166,0.001368095047370017,48
short,sl,-0.023315951144092316,-0.024223551144092317,12
short,tp,0.028749377539199587,0.028380277539199587,17
short,sl,-0.02164874594817792,-0.02243314594817792,28
short,timeout,0.019719135656220833,0.019588735656220834,48
short,timeout,0.00014475339174286876,-0.00048564660825713087,48
short,timeout,0.008481043528935743,0.007850643528935743,48
short,tp,0.025414273690527272,0.025245373690527272,43
short,timeout,-0.01715183268800321,-0.01778223268800321,48
short,timeout,0.011938250969888509,0.011307850969888511,48
short,timeout,0.015591520706794955,0.014961120706794957,48
short,timeout,0.01566624528217859,0.015535845282178589,48
short,timeout,0.004183498014588864,0.003553098014588864,48
short,sl,-0.020990391418539013,-0.021713191418539012,36
short,timeout,-0.0033482930044957246,-0.003978693004495724,48
short,sl,-0.024728676919939924,-0.025520776919939925,27
short,tp,0.029835815923631943,0.029459015923631943,16
short,sl,-0.024189833094532348,-0.02492803309453235,34
short,tp,0.02853239087399458,0.028170990873994578,18
short,timeout,0.007730075694604003,0.007099675694604003,48
short,timeout,0.023460461222850205,0.022830061222850206,48
short,timeout,0.016873087432049294,0.016242687432049294,48
short,sl,-0.024350270064994337,-0.02516547006499434,24
short,tp,0.028757064694345563,0.028626664694345563,48
short,tp,0.022693554357890524,0.022347554357890525,20
short,sl,-0.024235746364811513,-0.025074046364811513,21
short,timeout,0.0006167383744905829,-1.3661625509416768e-05,48
short,timeout,0.013160678026990934,0.012530278026990936,48
short,sl,-0.019198493613551085,-0.019844293613551087,46
short,timeout,0.006050531932921142,0.005420131932921142,48
short,timeout,0.004902878483660376,0.004272478483660376,48
short,timeout,-0.01326229836783958,-0.01389269836783958,48
short,timeout,-0.00822146097419643,-0.008851860974196428,48
short,timeout,-0.01165390993286692,-0.01228430993286692,48
short,timeout,0.004225839122769172,0.003595439122769172,48
short,timeout,-0.01152965865410124,-0.01216005865410124,48
short,timeout,0.012312690613835815,0.011682290613835817,48
short,tp,0.030136568256237083,0.029936868256237082,39
short,timeout,-0.0013509398772841373,-0.001981339877284137,48
short,tp,0.033288713529286945,0.03298121352928694,25
short,timeout,0.0029789278667838185,0.0023485278667838188,48
short,sl,-0.021537750839945424,-0.022422250839945423,15
short,sl,-0.02151742381892822,-0.02239422381892822,16
short,sl,-0.020589296034777053,-0.021312096034777052,36
short,sl,-0.022669994708339115,-0.023392794708339115,36
short,timeout,0.008873359290131243,0.008242959290131243,48
short,tp,0.025498299776235602,0.025167699776235602,22
short,tp,0.023325452996689516,0.022887052996689514,8
short,sl,-0.0241978837032755,-0.0251285837032755,9
short,tp,0.026691383981456103,0.026406983981456102,28
short,tp,0.021438064699053554,0.021045864699053556,14
short,timeout,-0.01249060710644452,-0.01262100710644452,48
long,tp,0.03465595178302353,0.03465595178302353,11
short,sl,-0.019719347923427645,-0.020626947923427646,12
short,timeout,-0.00957941161682929,-0.010209811616829288,48
short,sl,-0.01791936286709803,-0.01828076286709803,18
short,tp,0.031747836716590226,0.031602036716590225,46
short,tp,0.027946605133096717,0.027523605133096717,10
short,tp,0.02775245880621153,0.02753735880621153,37
short,tp,0.03178189400996155,0.03146669400996155,24
short,sl,-0.018826107935117378,-0.01968750793511738,18
short,sl,-0.02366352829499533,-0.024478728294995332,24
short,sl,-0.024185222852955286,-0.024961922852955287,29
short,tp,0.02990301899725809,0.02951081899725809,14
short,tp,0.029019941590743364,0.028743241590743363,29
short,tp,0.02928774527190448,0.02902644527190448,31
short,tp,0.028399568499979325,0.027999668499979324,13
short,sl,-0.023332994243968324,-0.023471094243968323,47
short,timeout,0.009611898249031471,0.009481498249031472,48
short,sl,-0.01791936286709803,-0.018357762867098032,8
short,timeout,0.004516548602462906,0.0038861486024629067,48
short,tp,0.029464278661326646,0.029187578661326645,29
short,sl,-0.024441697674155653,-0.025218397674155655,29
short,sl,-0.02306852908255073,-0.02386062908255073,27
short,tp,0.025850102797599795,0.025473302797599795,16
short,sl,-0.023544444169137802,-0.024274944169137804,35
short,sl,-0.01791936286709816,-0.01824226286709816,23
short,tp,0.028768357922875295,0.028622557922875293,46
short,tp,0.03434544549527127,0.03445324549527127,14
short,sl,-0.0270431468212748,-0.0278660468212748,23
short,sl,-0.018485663453219215,-0.019416363453219215,9
short,timeout,-0.003682402202200908,-0.004312802202200907,48
short,tp,0.02680548182636054,0.02643638182636054,17
short,sl,-0.02265730603938604,-0.02341860603938604,31
short,timeout,0.0009749912193939455,0.0003445912193939459,48
long,timeout,0.0018639562863949986,0.0008639562863949986,48
long,timeout,0.00874540217248386,0.00774540217248386,48
long,timeout,-0.002944101204852086,-0.003944101204852086,48
long,sl,-0.02318824205719467,-0.02418824205719467,15
long,sl,-0.024948604503321974,-0.025948604503321974,22
long,sl,-0.023394010600108227,-0.024394010600108228,28
short,timeout,0.008270149119250277,0.0076397491192502776,48
long,sl,-0.018081366147664493,-0.018581366147664494,8
long,sl,-0.01808136614766439,-0.01858136614766439,21
long,tp,0.02699885330817116,0.026498853308171158,8
long,sl,-0.01808136614766472,-0.01858136614766472,9
short,sl,-0.025334093257349064,-0.026056893257349063,36
long,sl,-0.02483300474799119,-0.02583300474799119,42
long,sl,-0.0259697105555305,-0.0269697105555305,10
long,sl,-0.01808136614766454,-0.01858136614766454,9
short,sl,-0.01791936286709816,-0.01835776286709816,8
long,sl,-0.018081366147664656,-0.018581366147664657,11
short,sl,-0.017919362867098023,-0.018357762867098025,8
short,tp,0.03434544549527127,0.03452254549527127,23
long,sl,-0.018081366147664642,-0.018581366147664643,8
short,tp,0.034345445495271264,0.034407045495271266,8
long,tp,0.03123408040378342,0.03073408040378342,37
short,tp,0.03434544549527123,0.03462264549527123,36
long,tp,0.030354581332031446,0.029854581332031446,15
long,sl,-0.018081366147664393,-0.018581366147664393,21
long,sl,-0.020855542702119083,-0.021855542702119084,26
long,timeout,0.012663846079683282,0.012163846079683282,48
short,sl,-0.022334377168753087,-0.02323427716875309,13
short,sl,-0.02580038257863136,-0.02649238257863136,40
short,timeout,0.0010342213914586245,0.0009038213914586248,48
short,tp,0.03166030685229661,0.03147600685229661,41
short,sl,-0.017919362867098,-0.018357762867098,8
short,sl,-0.020941755481236213,-0.021857055481236214,11
long,timeout,0.014168047743438415,0.013168047743438414,48
short,timeout,0.0085450778492895,0.0084146778492895,48
long,tp,0.03465595178302347,0.03465595178302347,34
long,tp,0.027832283791116692,0.027332283791116692,14
short,timeout,0.015570011946074875,0.014939611946074877,48
short,timeout,-0.0020849022235437395,-0.0027153022235437392,48
long,sl,-0.02153605478760837,-0.02253605478760837,39
short,sl,-0.021160906679764124,-0.022022306679764125,18
short,timeout,-0.018051560206751235,-0.018681960206751235,48
short,sl,-0.03413449360313737,-0.03492659360313737,27
short,timeout,0.02053997494813421,0.01990957494813421,48
long,timeout,0.015031003840844572,0.014031003840844571,48
short,timeout,0.016936220673214344,0.016305820673214344,48
