trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
long_only,1.0,2.5,3.0,0.015,8,24,3,0.85,0.15,0.15,1.0268892123945288,0.9630098563548443,0.2886154475298017,-0.2089437885573546,0.539568345323741,139,139,0
long_only,0.6,2.5,2.0,0.015,4,48,2,0.9,0.1,0.1,1.0223855862832796,0.9858718043562601,0.27359496111393344,-0.14063970318163652,0.5638297872340425,94,94,0
long_only,1.0,2.0,3.0,0.01,4,24,3,0.85,0.15,0.15,1.022381721492048,0.9687826476195948,0.25177637201965,-0.1827677189456613,0.5,152,152,0
long_only,0.3,2.0,3.0,0.015,8,24,3,0.85,0.15,0.15,1.0206956236836704,0.9569128942280036,0.2788421346453036,-0.2036249226116971,0.524822695035461,141,141,0
long_only,1.0,1.5,3.0,0.01,4,24,3,0.85,0.15,0.15,1.0204248911903904,0.9758017853947654,0.23711672703507536,-0.15608681145160153,0.484472049689441,161,161,0
long_only,1.0,2.5,3.0,0.015,4,48,3,0.85,0.15,0.15,1.0194462787243688,0.9761045624304205,0.32002272201072857,-0.23128505992178075,0.5576923076923077,104,104,0
long_only,0.3,2.5,3.0,0.015,4,24,3,0.85,0.15,0.15,1.0174201124155111,0.951991982116276,0.28098367543523484,-0.20378752054330718,0.539568345323741,139,139,0
long_only,0.6,2.5,2.0,0.015,8,48,2,0.9,0.1,0.1,1.0167623969288657,0.9802486150018463,0.27359496111393344,-0.15127392818957242,0.5638297872340425,94,94,0
long_only,0.3,1.5,2.0,0.01,8,48,3,0.8,0.2,0.2,1.0082463991684278,0.9564782644500621,0.27702915110865844,-0.16479808657440512,0.5,160,160,0
long_only,0.6,2.5,3.0,0.015,4,48,2,0.85,0.15,0.15,1.0069091312633278,0.9735291237062941,0.32200214724273435,-0.25829413648860167,0.5566037735849056,106,106,0
long_only,1.0,1.5,3.0,0.01,8,48,3,0.8,0.2,0.2,1.0051614972476277,0.9424195257493586,0.2840525425416338,-0.17392199774581912,0.4726027397260274,146,146,0
long_only,0.3,1.5,2.5,0.01,4,24,3,0.85,0.15,0.15,1.0051485387147203,0.9640865920494772,0.22947644069451778,-0.14456902522702955,0.4878048780487805,164,164,0
long_only,1.0,2.5,3.0,0.015,8,48,3,0.85,0.15,0.15,1.0046903280588904,0.9613486117649421,0.32002272201072857,-0.23128505992178075,0.5576923076923077,104,104,0
long_only,0.3,2.5,3.0,0.015,8,24,3,0.9,0.1,0.1,0.9967508301096717,0.9314849890154013,0.23541922065857213,-0.1810275822309455,0.5217391304347826,115,115,0
long_only,0.6,2.5,2.0,0.015,4,48,2,0.8,0.2,0.2,0.9959538655078659,0.9197949125078586,0.2994792135424178,-0.17074531492503964,0.5615384615384615,130,130,0
long_only,0.3,1.5,2.5,0.01,4,48,2,0.8,0.2,0.2,0.9936571924814572,0.9470896764105475,0.25682178502805275,-0.18799534986635286,0.4662576687116564,163,163,0
long_only,0.3,2.0,2.5,0.01,4,24,3,0.85,0.15,0.15,0.9931992001746188,0.9431447230936472,0.23951032648360204,-0.17482081636617267,0.512987012987013,154,154,0
