entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,min_sl,long_threshold,short_threshold,signal_threshold,ret,sharpe,maxdd,active_bars
0.6,1.5,3.0,4,24,3,0.01,0.55,0.45,0.05,-0.11505153000975521,-0.11487574080017897,-0.47606454276256543,16985
0.0,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,-0.032285146534484443,-0.12308146659689302,-0.22213485552020348,703
0.6,2.5,3.0,4,48,3,0.01,0.7,0.3,0.2,-0.03053066577381114,-0.1276700407908849,-0.17234593296446343,1021
0.3,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,-0.13563956389583964,-0.13236982724677554,-0.4177974400354683,13325
0.3,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,-0.13563956389583964,-0.13236982724677554,-0.4177974400354683,13325
0.0,2.5,3.0,4,24,3,0.01,0.7,0.3,0.2,-0.029988401768087924,-0.13539474485578895,-0.19909805393360633,675
0.0,1.5,3.0,12,48,3,0.01,0.7,0.3,0.2,-0.03756916110141928,-0.13994035135935715,-0.19974555368948077,891
0.3,1.5,2.0,12,48,3,0.01,0.7,0.3,0.2,-0.04045913668634793,-0.1574485238764736,-0.19173350682814724,739
0.0,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,-0.16720247842025648,-0.16366137658731672,-0.4334054814133551,13325
0.0,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,-0.16720247842025648,-0.16366137658731672,-0.4334054814133551,13325
0.0,2.5,3.0,12,48,3,0.01,0.7,0.3,0.2,-0.04671927406101117,-0.16516786408542747,-0.23805454062535267,1116
0.0,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,-0.1772292512611119,-0.17187293643229495,-0.590508030924264,14573
