trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
both,1.0,2.0,3.0,0.01,8,48,3,0.9,0.1,0.1,2.285703186480036,2.2100368516148485,1.0419570441725385,-0.14721227656644775,0.564935064935065,154,68,86
long_only,1.0,2.0,3.0,0.015,8,48,2,0.95,0.05,0.05,2.281412458404977,2.307324199044922,0.5422712026503831,-0.09400492578647288,0.5652173913043478,46,46,0
long_only,0.6,2.5,3.0,0.015,8,48,2,0.925,0.075,0.075,2.277797401967162,2.290936742314982,0.6129808969112438,-0.1073593518575028,0.6415094339622641,53,53,0
both,0.3,2.0,3.0,0.015,8,48,2,0.925,0.075,0.075,2.276066774811741,2.1797120780071113,0.9879167273663847,-0.14074068842735782,0.552,125,54,71
long_only,0.6,2.0,3.0,0.015,8,48,3,0.95,0.05,0.05,2.2751630842401864,2.302815033010123,0.5387092715942359,-0.08838158282980789,0.5777777777777777,45,45,0
both,0.3,2.0,3.0,0.015,4,48,2,0.95,0.05,0.05,2.2738310105211177,2.2056898370347984,0.8683479777798258,-0.14817977045708958,0.5148514851485149,101,47,54
both,0.6,2.0,3.0,0.01,8,48,3,0.9,0.1,0.1,2.2696090830304323,2.1939449552726202,1.036330583619871,-0.14830354462327602,0.564935064935065,154,68,86
long_only,1.0,2.0,3.0,0.015,8,48,2,0.925,0.075,0.075,2.268431490017724,2.2784116054679613,0.5989032773164944,-0.10184600320721923,0.6,55,55,0
long_only,0.6,1.5,3.0,0.015,8,48,2,0.925,0.075,0.075,2.2680411682346606,2.2782023038374746,0.5857527548429695,-0.0934336608454053,0.5818181818181818,55,55,0
long_only,0.6,2.0,3.0,0.015,8,48,2,0.95,0.05,0.05,2.2668296120101967,2.2928058337635346,0.5391428024091347,-0.0940049257864728,0.5652173913043478,46,46,0
both,1.0,2.0,2.5,0.015,8,48,2,0.925,0.075,0.075,2.2668070342769004,2.173329731957067,0.9576206150373896,-0.1430645042784139,0.5581395348837209,129,55,74
long_only,0.3,1.5,3.0,0.01,4,48,3,0.925,0.075,0.075,2.265696481491491,2.270592280244093,0.5137283184608001,-0.08776533955693522,0.5423728813559322,59,59,0
long_only,0.3,1.5,3.0,0.015,4,48,2,0.925,0.075,0.075,2.2618074319308463,2.2704114637833674,0.578406802473187,-0.08947829372081595,0.5892857142857143,56,56,0
both,1.0,2.5,3.0,0.015,4,48,2,0.95,0.05,0.05,2.2581834100105147,2.1916774837343658,0.8906847547691337,-0.16569320339462174,0.53,100,47,53
both,0.3,1.5,3.0,0.015,4,48,3,0.95,0.05,0.05,2.252060561740242,2.1823614642341327,0.8122225910547922,-0.10261927345586994,0.49019607843137253,102,46,56
both,0.6,1.5,3.0,0.01,8,48,3,0.9,0.1,0.1,2.251936822591017,2.185564155421794,1.022769064004465,-0.1720077474997471,0.5149700598802395,167,72,95
long_only,0.3,2.5,2.5,0.015,8,48,2,0.925,0.075,0.075,2.2509664250908075,2.262645830398081,0.596430642424024,-0.10735935185750219,0.6666666666666666,54,54,0
both,0.6,1.5,3.0,0.01,8,48,2,0.925,0.075,0.075,2.250517954277969,2.16781364931662,0.8969912886006666,-0.15033126950081493,0.5069444444444444,144,60,84
both,0.3,2.5,2.5,0.015,8,48,2,0.95,0.05,0.05,2.2459142479080745,2.179462163442595,0.8545382839084548,-0.14174293074267164,0.55,100,46,54
both,1.0,2.0,3.0,0.015,8,48,3,0.925,0.075,0.075,2.244414473358339,2.148076779425511,0.9620132194792024,-0.14625186654665676,0.544,125,54,71
both,0.6,2.5,3.0,0.015,4,48,2,0.95,0.05,0.05,2.2409941551968746,2.1745001428774686,0.8817396747279886,-0.1656932033946216,0.53,100,47,53
long_only,0.3,1.5,3.0,0.01,8,48,2,0.925,0.075,0.075,2.2379439653195567,2.240540110812785,0.5414029763446238,-0.09386349316540503,0.55,60,60,0
long_only,0.3,1.5,3.0,0.01,8,48,3,0.925,0.075,0.075,2.236640550881028,2.241016784041036,0.5359860335339965,-0.09386349316540475,0.559322033898305,59,59,0
long_only,0.3,1.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.235777287007716,2.2460558572771734,0.5778949732342284,-0.09343366084540514,0.5818181818181818,55,55,0
both,0.3,2.0,2.5,0.015,8,48,2,0.95,0.05,0.05,2.2291735101949617,2.161109495592826,0.8261036989836719,-0.13840284640334602,0.5346534653465347,101,46,55
long_only,0.3,2.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.22564833188264,2.2389773422177472,0.5977178072705276,-0.1073593518575022,0.6415094339622641,53,53,0
both,0.3,2.5,3.0,0.015,4,48,3,0.95,0.05,0.05,2.2241740897707247,2.159393183534178,0.8519345993045093,-0.14727014954355358,0.5353535353535354,99,46,53
both,1.0,1.5,3.0,0.01,8,48,2,0.925,0.075,0.075,2.2211657790457036,2.138487150664504,0.8775637473647389,-0.15074292976375359,0.5069444444444444,144,60,84
both,0.3,2.0,2.5,0.015,8,48,2,0.925,0.075,0.075,2.2202084966837523,2.126746688612984,0.9385624982396714,-0.1407406884273562,0.5658914728682171,129,55,74
long_only,0.6,2.0,3.0,0.015,8,48,2,0.925,0.075,0.075,2.2194864858858123,2.2296665735158583,0.5844513794344062,-0.1072866303511201,0.6,55,55,0
long_only,1.0,1.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.2186313624140235,2.2290511174225585,0.5690474976005768,-0.09343366084540473,0.5818181818181818,55,55,0
both,0.6,2.0,3.0,0.015,8,48,2,0.925,0.075,0.075,2.217541154644647,2.1212164480949056,0.9453077967333445,-0.1430645042784134,0.544,125,54,71
long_only,0.6,2.5,2.5,0.015,8,48,2,0.925,0.075,0.075,2.217330431938068,2.229158863947475,0.585709298298867,-0.10735935185750173,0.6481481481481481,54,54,0
both,0.3,1.5,2.5,0.015,8,48,2,0.95,0.05,0.05,2.21631017297767,2.1416368387322198,0.8019375613279807,-0.09437854743369993,0.5142857142857142,105,46,59
long_only,0.3,1.5,2.5,0.015,8,48,3,0.925,0.075,0.075,2.2077503580472273,2.2167375644523064,0.5556058783530442,-0.09343366084540428,0.5892857142857143,56,56,0
long_only,1.0,2.5,2.5,0.015,8,48,2,0.925,0.075,0.075,2.2076277892115455,2.2195130226178663,0.5818493569773633,-0.10735935185750169,0.6481481481481481,54,54,0
both,0.3,2.0,3.0,0.015,8,48,3,0.925,0.075,0.075,2.205104681908309,2.108780268386532,0.944955454767175,-0.14393669410341584,0.544,125,54,71
both,1.0,2.5,2.5,0.015,8,48,2,0.95,0.05,0.05,2.1980249328778223,2.131634927150985,0.8227369588356461,-0.15168711401901816,0.54,100,46,54
both,0.6,2.5,2.5,0.015,8,48,2,0.95,0.05,0.05,2.196929694256809,2.1305353211955365,0.8247286667672127,-0.15168711401901916,0.54,100,46,54
both,1.0,2.5,3.0,0.01,8,48,2,0.95,0.05,0.05,2.1962572459263767,2.1232642991286745,0.7967859276941738,-0.1271348086354193,0.5192307692307693,104,48,56
both,0.6,2.5,3.0,0.015,4,48,3,0.95,0.05,0.05,2.1950527180490496,2.130306367164466,0.8336064648075399,-0.15168229297661215,0.5252525252525253,99,46,53
both,0.6,2.0,2.5,0.015,8,48,2,0.925,0.075,0.075,2.1861577169857402,2.092721509372843,0.9123107677193067,-0.14306450427841252,0.5581395348837209,129,55,74
both,1.0,2.5,3.0,0.01,8,48,3,0.95,0.05,0.05,2.1827436910151805,2.114806481463165,0.7777954151383479,-0.12061205744285172,0.5148514851485149,101,46,55
long_only,0.3,1.5,3.0,0.015,4,48,3,0.925,0.075,0.075,2.1807599210294257,2.1897577053789385,0.5550306843150421,-0.08947829372081509,0.5714285714285714,56,56,0
long_only,1.0,1.5,2.5,0.015,8,48,3,0.925,0.075,0.075,2.180704200744529,2.189909480322179,0.5442406528737889,-0.09343366084540382,0.5892857142857143,56,56,0
both,1.0,2.5,3.0,0.015,4,48,3,0.95,0.05,0.05,2.1780639994781623,2.113337589570322,0.8241340982932235,-0.15010989630458482,0.5252525252525253,99,46,53
long_only,1.0,1.5,3.0,0.015,4,48,2,0.925,0.075,0.075,2.176483531161349,2.185607915746967,0.5483399254687442,-0.0873326145342425,0.5714285714285714,56,56,0
both,0.3,1.5,2.5,0.015,8,48,3,0.925,0.075,0.075,2.167192033645564,2.0766789471983036,0.862596293454869,-0.12374329116684593,0.5338345864661654,133,55,78
both,1.0,2.0,3.0,0.015,8,48,3,0.9,0.1,0.1,2.1653050358559494,2.0832174971168604,1.0240862954229222,-0.15251540463291888,0.5724137931034483,145,64,81
long_only,1.0,1.5,3.0,0.015,4,48,3,0.925,0.075,0.075,2.165042688094862,2.17419397626421,0.5469620139969225,-0.08733261453424246,0.5714285714285714,56,56,0
both,1.0,1.5,2.5,0.015,8,48,3,0.925,0.075,0.075,2.1607207536574284,2.07022388068213,0.8528984275731761,-0.12611307547078807,0.5338345864661654,133,55,78
both,1.0,2.0,2.5,0.015,8,48,2,0.95,0.05,0.05,2.1605043812638893,2.0925467153228503,0.7844360481674215,-0.14828965921268872,0.5247524752475248,101,46,55
both,0.6,2.0,2.5,0.015,8,48,2,0.95,0.05,0.05,2.15939429168437,2.091430839861867,0.7863798515448943,-0.14828965921268997,0.5247524752475248,101,46,55
both,0.3,2.5,3.0,0.015,8,48,2,0.925,0.075,0.075,2.159327068868004,2.060172021118127,0.9165963186826371,-0.16070929240663748,0.5785123966942148,121,52,69
both,1.0,1.5,3.0,0.015,4,48,3,0.95,0.05,0.05,2.1589688234457323,2.089415668434496,0.762703020974913,-0.10963277237753319,0.4803921568627451,102,46,56
both,0.6,2.5,3.0,0.01,8,48,2,0.95,0.05,0.05,2.156370242042015,2.0834231300949173,0.7809661158855581,-0.12713480863541995,0.5192307692307693,104,48,56
both,0.6,2.0,3.0,0.015,8,48,3,0.925,0.075,0.075,2.1559602336120225,2.05967014213632,0.9093318044278893,-0.1462518665466551,0.544,125,54,71
long_only,0.3,2.0,3.0,0.015,4,48,3,0.95,0.05,0.05,2.154210951957876,2.180903720538472,0.5087005798938886,-0.08838158282980792,0.5869565217391305,46,46,0
both,0.3,2.0,3.0,0.015,4,48,3,0.95,0.05,0.05,2.1540824246674912,2.0878083642491467,0.7789125610079508,-0.14107898803365643,0.51,100,46,54
long_only,1.0,2.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.153397209948152,2.167089923704119,0.5727561028788966,-0.10735935185750119,0.6415094339622641,53,53,0
