entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.9,2.0,3.5,6,36,6,0.65,0.54,0.15,0.04,0.768610457619681,0.718610457619681,0.09436449481554576,-0.1127413454500179,0.5,20,0,20,1.0
0.3,2.0,3.5,6,36,6,0.6,0.54,0.1,0.04,0.7665136911933718,0.7165136911933717,0.09438989533045428,-0.11113406910145014,0.5,20,0,20,1.0
0.3,2.0,3.5,6,36,6,0.63,0.54,0.13,0.04,0.7665136911933718,0.7165136911933717,0.09438989533045428,-0.11113406910145014,0.5,20,0,20,1.0
0.3,2.0,3.5,6,36,6,0.65,0.54,0.15,0.04,0.7665136911933718,0.7165136911933717,0.09438989533045428,-0.11113406910145014,0.5,20,0,20,1.0
0.6,1.0,3.0,18,36,3,0.58,0.53,0.08,0.03,0.7659406235220346,0.7164237153094742,0.167352912826932,-0.07613138303488645,0.43478260869565216,46,5,41,0.8913043478260869
0.6,1.0,3.5,18,48,3,0.58,0.53,0.08,0.03,0.7656312491938642,0.71638882495144,0.17455995846093741,-0.07613138303488412,0.4772727272727273,44,5,39,0.8863636363636364
0.3,1.0,3.0,18,36,3,0.58,0.53,0.08,0.03,0.7624652762116231,0.7129483679990627,0.1681261262807041,-0.07613138303488516,0.43478260869565216,46,5,41,0.8913043478260869
0.3,1.0,3.5,18,48,2,0.6,0.53,0.1,0.03,0.7608280765381896,0.7108280765381896,0.1609962559450271,-0.07613138303488126,0.46153846153846156,39,0,39,1.0
0.3,1.0,3.5,18,48,2,0.63,0.53,0.13,0.03,0.7608280765381896,0.7108280765381896,0.1609962559450271,-0.07613138303488126,0.46153846153846156,39,0,39,1.0
0.3,1.0,3.5,18,48,2,0.65,0.53,0.15,0.03,0.7608280765381896,0.7108280765381896,0.1609962559450271,-0.07613138303488126,0.46153846153846156,39,0,39,1.0
0.9,1.0,2.5,18,36,12,0.6,0.53,0.1,0.03,0.7600232977614002,0.7100232977614002,0.14367287907948123,-0.0975790042660661,0.43243243243243246,37,0,37,1.0
0.9,1.0,2.5,18,36,12,0.63,0.53,0.13,0.03,0.7600232977614002,0.7100232977614002,0.14367287907948123,-0.0975790042660661,0.43243243243243246,37,0,37,1.0
0.9,1.0,2.5,18,36,12,0.65,0.53,0.15,0.03,0.7600232977614002,0.7100232977614002,0.14367287907948123,-0.0975790042660661,0.43243243243243246,37,0,37,1.0
0.3,1.0,3.0,18,36,12,0.6,0.53,0.1,0.03,0.7548189086477861,0.7048189086477861,0.14582483513645217,-0.09203454548217184,0.43243243243243246,37,0,37,1.0
0.3,1.0,3.0,18,36,12,0.63,0.53,0.13,0.03,0.7548189086477861,0.7048189086477861,0.14582483513645217,-0.09203454548217184,0.43243243243243246,37,0,37,1.0
0.3,1.0,3.0,18,36,12,0.65,0.53,0.15,0.03,0.7548189086477861,0.7048189086477861,0.14582483513645217,-0.09203454548217184,0.43243243243243246,37,0,37,1.0
0.6,1.0,2.5,18,48,12,0.6,0.53,0.1,0.03,0.75462927373131,0.7046292737313099,0.14606775578935594,-0.09757900426606651,0.4864864864864865,37,0,37,1.0
0.6,1.0,2.5,18,48,12,0.63,0.53,0.13,0.03,0.75462927373131,0.7046292737313099,0.14606775578935594,-0.09757900426606651,0.4864864864864865,37,0,37,1.0
0.6,1.0,2.5,18,48,12,0.65,0.53,0.15,0.03,0.75462927373131,0.7046292737313099,0.14606775578935594,-0.09757900426606651,0.4864864864864865,37,0,37,1.0
0.3,1.0,3.5,18,48,3,0.6,0.53,0.1,0.03,0.7488365921501535,0.6988365921501535,0.15819594155496763,-0.07613138303488194,0.46153846153846156,39,0,39,1.0
0.3,1.0,3.5,18,48,3,0.63,0.53,0.13,0.03,0.7488365921501535,0.6988365921501535,0.15819594155496763,-0.07613138303488194,0.46153846153846156,39,0,39,1.0
0.3,1.0,3.5,18,48,3,0.65,0.53,0.15,0.03,0.7488365921501535,0.6988365921501535,0.15819594155496763,-0.07613138303488194,0.46153846153846156,39,0,39,1.0
0.6,1.0,3.5,18,48,2,0.58,0.53,0.08,0.03,0.7486085781845433,0.6993661539421191,0.1696845702121048,-0.07613138303488326,0.45454545454545453,44,5,39,0.8863636363636364
0.3,1.0,2.5,12,48,2,0.6,0.53,0.1,0.03,0.7466963344782809,0.6966963344782808,0.151728726235431,-0.08175792837764073,0.4444444444444444,45,0,45,1.0
0.3,1.0,2.5,12,48,2,0.63,0.53,0.13,0.03,0.7466963344782809,0.6966963344782808,0.151728726235431,-0.08175792837764073,0.4444444444444444,45,0,45,1.0
0.3,1.0,2.5,12,48,2,0.65,0.53,0.15,0.03,0.7466963344782809,0.6966963344782808,0.151728726235431,-0.08175792837764073,0.4444444444444444,45,0,45,1.0
0.6,1.0,3.0,18,24,3,0.58,0.53,0.08,0.03,0.7449523782385105,0.6949523782385104,0.15470444476798884,-0.07792584565964077,0.4,50,5,45,0.9
0.9,1.0,3.0,18,36,3,0.6,0.53,0.1,0.03,0.7433866250151498,0.6933866250151498,0.1501251193738633,-0.07613138303488531,0.43902439024390244,41,0,41,1.0
0.9,1.0,3.0,18,36,3,0.63,0.53,0.13,0.03,0.7433866250151498,0.6933866250151498,0.1501251193738633,-0.07613138303488531,0.43902439024390244,41,0,41,1.0
0.9,1.0,3.0,18,36,3,0.65,0.53,0.15,0.03,0.7433866250151498,0.6933866250151498,0.1501251193738633,-0.07613138303488531,0.43902439024390244,41,0,41,1.0
0.3,1.0,3.0,18,24,3,0.58,0.53,0.08,0.03,0.742635450287564,0.6926354502875639,0.15575789801963547,-0.07794317210093604,0.38,50,5,45,0.9
0.9,1.0,3.0,18,36,12,0.6,0.53,0.1,0.03,0.7413201670828219,0.6913201670828218,0.1419987767376989,-0.09248919510131834,0.43243243243243246,37,0,37,1.0
0.9,1.0,3.0,18,36,12,0.63,0.53,0.13,0.03,0.7413201670828219,0.6913201670828218,0.1419987767376989,-0.09248919510131834,0.43243243243243246,37,0,37,1.0
0.9,1.0,3.0,18,36,12,0.65,0.53,0.15,0.03,0.7413201670828219,0.6913201670828218,0.1419987767376989,-0.09248919510131834,0.43243243243243246,37,0,37,1.0
