feature,MI,spearman_rho,abs_rho,rank
close_vs_sma_2160,0.0006684492670623321,0.008803480186396024,0.008803480186396024,40
supertrend_dir_30,0.0006121998539021511,0.0046945892810817385,0.0046945892810817385,41
vol_ratio_72h,0.000564974717817357,0.007759034769665859,0.007759034769665859,42
hurst_168h,0.000564968288852441,-0.0011606028483941695,0.0011606028483941695,43
autocorr_ret_12h,0.00047696832918964205,0.0028328677609713465,0.0028328677609713465,44
tk_cross_bull,0.0004480751253681525,-0.012116478553168024,0.012116478553168024,45
cloud_thickness,0.00042711784805193886,-0.0021319943451866257,0.0021319943451866257,46
quarter_sin,0.0003793150184949745,0.005567778087885804,0.005567778087885804,47
gk_vol_168h,0.0003104457308440445,-0.0025789923366843844,0.0025789923366843844,48
autocorr_ret_1h,0.00028215307832857306,-0.0003851829333204426,0.0003851829333204426,49
ad_z_168h,0.00021244371353557057,-0.013653382714487764,0.013653382714487764,50
dow_sin,0.0001937440976744753,0.006164123169414869,0.006164123169414869,51
supertrend_dir_15,0.00012706483977487082,-0.0015153667119926016,0.0015153667119926016,52
bear_engulf,9.786669903100176e-05,0.019890285625221157,0.019890285625221157,53
vol_spike_2x,3.11903925740431e-05,0.006837599092638948,0.006837599092638948,54
autocorr_ret_24h,1.595285605660024e-05,0.0006310959384192738,0.0006310959384192738,55
inside_cloud,1.3343690284717269e-05,-0.00258868513398775,0.00258868513398775,56
dow_cos,0.0,0.005378731259153819,0.005378731259153819,57
bb_squeeze_20,0.0,0.0017456234094670416,0.0017456234094670416,58
halving_cycle_sin,0.0,-0.00035053366797649686,0.00035053366797649686,59
hour_sin,0.0,-0.015601175499715876,0.015601175499715876,60
vol_of_vol_72h,0.0,0.0010516198001914291,0.0010516198001914291,61
sma50_vs_sma200,0.0,0.016087775925749146,0.016087775925749146,62
sma50_vs_sma100,0.0,0.013108829511327419,0.013108829511327419,63
atr_14_pct_rank,0.0,0.007187641764574198,0.007187641764574198,64
kurt_24h,0.0,-0.005596814375799419,0.005596814375799419,65
hl_position_168h,0.0,-0.012180067256712772,0.012180067256712772,66
breakout_up_48h,0.0,-0.014013178573480296,0.014013178573480296,67
skew_72h,0.0,0.00703051685849386,0.00703051685849386,68
lower_wick,0.0,-0.023316911174137468,0.023316911174137468,69
skew_168h,0.0,0.013148581267625845,0.013148581267625845,70
kurt_168h,0.0,0.002157949553989086,0.002157949553989086,71
upper_wick,0.0,0.018419935040325658,0.018419935040325658,72
macd_hist_12_26,0.0,-0.038838531501644125,0.038838531501644125,73
bb_width_20,0.0,0.0010858613403618917,0.0010858613403618917,74
var_ratio_24h,0.0,-0.002197520291360835,0.002197520291360835,75
atr_24,0.0,-0.00668721325727785,0.00668721325727785,76
vol_6h,0.0,0.005795821756617521,0.005795821756617521,77
candles_since_cross,0.0,0.005687822901495788,0.005687822901495788,78
dist_round_10000,0.0,0.01200251740087897,0.01200251740087897,79
breakout_down_24h,0.0,0.03142904707005785,0.03142904707005785,80
ma_ribbon_width,0.0,0.007654413070802602,0.007654413070802602,81
halving_cycle_pos,0.0,0.00040007850690800385,0.00040007850690800385,82
dom_sin,0.0,-0.0007824984287533894,0.0007824984287533894,83
dom_cos,0.0,0.004419290923321688,0.004419290923321688,84
weekly_mom_accel,0.0,0.0008845417444535872,0.0008845417444535872,85
quarter_cos,0.0,0.005140175104244506,0.005140175104244506,86
rsi_divergence,0.0,0.0024582692311682234,0.0024582692311682234,87
fib_dist_618_168h,0.0,-0.0001027016914472722,0.0001027016914472722,88
fib_nearest_dist_168h,0.0,0.009433202794862322,0.009433202794862322,89
fib_nearest_dist_48h,0.0,0.000569246598358065,0.000569246598358065,90
supertrend_flip_recency,0.0,-0.0003713178476724304,0.0003713178476724304,91
supertrend_dist_20,0.0,-0.0014191087368256858,0.0014191087368256858,92
supertrend_dir_20,0.0,0.005305174335762502,0.005305174335762502,93
hammer,0.0,-0.018288798622917518,0.018288798622917518,94
shooting_star,0.0,0.018607498709781817,0.018607498709781817,95
supertrend_dist_15,0.0,-0.010115399169212613,0.010115399169212613,96
marubozu,0.0,-0.008302191531731132,0.008302191531731132,97
mfi_14,0.0,-0.030569153692494144,0.030569153692494144,98
mfi_21,0.0,-0.01687790181842617,0.01687790181842617,99
vol_spike_3x,0.0,0.007413558290522738,0.007413558290522738,100
cloud_flip_recency,0.0,-0.0056156190222620556,0.0056156190222620556,101
tk_cross_bear,0.0,0.0024428795279369656,0.0024428795279369656,102
tk_ratio,0.0,-0.00785135315933213,0.00785135315933213,103
halving_cycle_cos,0.0,0.009556618845087933,0.009556618845087933,104
sharpe_ratio_72h,0.0,-0.0017283059586909414,0.0017283059586909414,105
