entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,min_sl,long_threshold,short_threshold,signal_threshold,ret,sharpe,maxdd,active_bars
0.6,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,-0.002875326288666713,-0.002474035504487032,-0.5157492171295028,15880
0.3,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,-0.011265966334187305,-0.012256260569269333,-0.41403441953230147,9214
0.3,1.5,2.0,4,48,3,0.01,0.55,0.45,0.05,-0.019874302905588226,-0.02011968475033374,-0.47647685045033145,15869
0.3,1.5,2.0,4,48,3,0.01,0.65,0.35,0.15,-0.019874302905588226,-0.02011968475033374,-0.47647685045033145,15869
0.3,1.5,2.0,4,48,3,0.01,0.6,0.4,0.1,-0.019874302905588226,-0.02011968475033374,-0.47647685045033145,15869
0.3,1.5,3.0,4,48,3,0.01,0.6,0.4,0.1,-0.022003555024343813,-0.021469139888791317,-0.5185040132134482,16595
0.3,1.5,3.0,4,48,3,0.01,0.55,0.45,0.05,-0.022003555024343813,-0.021469139888791317,-0.5185040132134482,16595
0.3,1.5,3.0,4,48,3,0.01,0.65,0.35,0.15,-0.022003555024343813,-0.021469139888791317,-0.5185040132134482,16595
0.0,1.5,3.0,4,24,3,0.01,0.6,0.4,0.1,-0.050826189061413674,-0.04974255062282244,-0.44275505488827777,15395
0.0,1.5,3.0,4,24,3,0.01,0.65,0.35,0.15,-0.050826189061413674,-0.04974255062282244,-0.44275505488827777,15395
0.0,1.5,3.0,4,24,3,0.01,0.55,0.45,0.05,-0.050826189061413674,-0.04974255062282244,-0.44275505488827777,15395
0.6,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,-0.07180334170198022,-0.08161591865451032,-0.3879519918019096,9214
0.3,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,-0.09854465580160932,-0.08895853386003168,-0.5266841452272034,16500
0.3,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,-0.09854465580160932,-0.08895853386003168,-0.5266841452272034,16500
0.3,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,-0.09854465580160932,-0.08895853386003168,-0.5266841452272034,16500
0.0,2.5,3.0,4,48,3,0.01,0.65,0.35,0.15,-0.1180541239481947,-0.11191026268678245,-0.5617900369082309,17682
0.0,2.5,3.0,4,48,3,0.01,0.55,0.45,0.05,-0.1180541239481947,-0.11191026268678245,-0.5617900369082309,17682
0.0,2.5,3.0,4,48,3,0.01,0.6,0.4,0.1,-0.1180541239481947,-0.11191026268678245,-0.5617900369082309,17682
0.3,1.5,2.0,12,24,3,0.01,0.65,0.35,0.15,-0.1369751888083054,-0.12462172693499604,-0.43515360710557344,15777
0.3,1.5,2.0,12,24,3,0.01,0.6,0.4,0.1,-0.1369751888083054,-0.12462172693499604,-0.43515360710557344,15777
0.3,1.5,2.0,12,24,3,0.01,0.55,0.45,0.05,-0.1369751888083054,-0.12462172693499604,-0.43515360710557344,15777
0.0,1.5,2.0,12,24,3,0.01,0.65,0.35,0.15,-0.14237550802690724,-0.12778316673604984,-0.4055863856080672,15777
0.0,1.5,2.0,12,24,3,0.01,0.6,0.4,0.1,-0.14237550802690724,-0.12778316673604984,-0.4055863856080672,15777
